Constant,LOWPRE,GBRPM,FRICTION,EXPOSE,INTPM,CPM,HISNOW,FREQ
1,0,2.074688797,55.8,0.071392394,0,3.319502075,1,12
1,0,2.564102564,45,0.197754044,0,1.709401709,0,12
1,0,2.164502165,45,0.317167736,0.865800866,1.298701299,0,12
1,0,3.191489362,48,0.078916431,0,3.191489362,0,12
1,1,1.10864745,51.3,0.152960258,0,0.44345898,0,12
1,1,1.360544218,44.9,0.339056676,0.22675737,0.907029478,0,12
1,1,1.171875,51.6,0.152512768,0,0.390625,0,12
1,1,1.937984496,55.5,0.116817885,0,1.162790698,1,12
1,0,1.587301587,44,0.095420052,0,0,0,12
1,0,2.98013245,46.5,0.122983611,0.331125828,0.993377483,0,12
1,1,1.155115512,48.1,0.434173851,0.495049505,0.330033003,1,12
1,0,1.973684211,45.5,0.287297632,0.657894737,0,0,11
1,0,1.538461538,48.5,0.20738497,0.769230769,0.769230769,0,11
1,0,0,42.5,0.3154476,0,3.333333333,0,11
1,0,2.366863905,51.5,0.264030306,0.591715976,1.183431953,1,11
1,0,2.429149798,49,0.113613331,0,1.619433198,0,11
1,1,1.408450704,46.8,0.256185324,0.352112676,0,0,11
1,0,6,46.5,0.112633525,4,4,0,11
1,0,2.721088435,45.8,0.178198986,0.680272109,2.040816327,1,11
1,1,0.838574423,52.9,0.134583165,0,0.419287212,0,11
1,1,1.373626374,58.6,0.16481283,0,0.274725275,1,11
1,0,0.757575758,56,0.247158582,1.515151515,0.757575758,0,11
1,0,2.830188679,52,0.120658634,0.943396226,2.830188679,1,11
1,0,1.176470588,45,0.145463815,1.176470588,0,0,10
1,0,1.503759398,41.5,0.356164956,0.751879699,1.503759398,1,10
1,0,1.369863014,49.8,0.061275507,0,1.369863014,0,10
1,1,2.105263158,45.3,0.154653968,0.350877193,1.052631579,0,10
1,1,0.576368876,48,0.141321649,0.288184438,0.576368876,0,10
1,1,1.646090535,52,0.081209142,0.411522634,0.823045267,0,10
1,0,2.777777778,53.5,0.213530256,0,1.388888889,0,10
1,1,0.896860987,53.1,0.139706378,0,0.448430493,0,10
1,0,2,40,0.10937955,1,2,0,10
1,0,0,43.5,0.200807342,1.492537313,2.985074627,1,9
1,1,2.06185567,54.5,0.032827516,0,1.030927835,0,9
1,0,3.03030303,49.8,0.052913685,0,1.515151515,0,9
1,1,3.355704698,38.8,0.086091455,0.67114094,2.013422819,0,9
1,1,1.322751323,47,0.174435471,0.264550265,1.322751323,0,9
1,1,1.470588235,46.8,0.11697666,0.294117647,0.882352941,0,9
1,0,2.325581395,45,0.095610801,0,2.325581395,1,9
1,0,2.597402597,47,0.140047215,0,1.731601732,0,9
1,1,4.761904762,50.5,0.118121483,0.952380952,0.952380952,0,9
1,1,0.4048583,47,0.105526428,0,1.214574899,0,8
1,0,1.030927835,48,0.121743633,0,1.030927835,1,8
1,1,2.307692308,45.3,0.093149095,1.538461538,0,0,8
1,1,1.325757576,51,0.17576064,0.189393939,0.568181818,0,8
1,1,2.824858757,52.6,0.139146249,0,0.282485876,0,8
1,0,2.857142857,53,0.094024,0,1.428571429,1,8
1,0,1.408450704,49.5,0.229041953,1.408450704,1.408450704,1,8
