HOMID,PERIOD,AADT,LAADT,AADT_ART,LNART,AADT_MCV,LNMCV,LNAADTAR,LNAADTMC,NLANES,LWIDTH,M,US,UD,RS,RD,SP,HSP,MSP,LSP,USHSP,USMSP,RSHSP,RSMSP,CURV_ST,CURV_MOD,CURV_SHP,CURV_VSH,CURVE50,L_TER,ROLL_TER,MT_TER,SSW_PS,SW_PS,SSW_DS,SW_DS,WCLP,WCLW,FW,MED50,ATLM_PS,ATLM_DS,ATLM_PD,ROP_C,ROP_M,ROP_W,ROP_NO,ROP_O,ROP,ROD_C,ROD_M,ROD_W,ROD_NO,ROD_O,ROD,HEADON_A,REAR_ART,SINGLE_A,INT_ART,SIDESW_A,MERGE_AR,OVER_ART,SHDR_ART,OBJ_ART,SVTURN_A,PED_ART,BIC_ART,MISC_ART,HEADON_M,REAR_MCV,SINGLE_M,INT_MCV,SIDESW_M,MERGE_MC,OVER_MCV,SHDR_MCV,OBJ_MCV,SVTURN_M,PED_MCV,BIC_MCV,MISC_MCV,NewSecId,LENGTH_G,LNLENGZ,LNLENP,HEADON,REAR,SINGLE,INT,SIDESW,MERGE,OVER,SHDR,OBJ,SVTURN,PED,BIC,MISC,CRASHTOT,LNHV,ART,MCV,LNHVAADT
91,5,36489.9,10.50479079,171.50253,5.144598019,3.64899,1.294450417,15.64938881,11.79924121,4,3.394230769,0,0,1,0,0,70,0,1,0,0,0,0,0,0.653846154,0.307692308,0.038461538,0,0,0.846153846,0.153846154,0,1.957692308,2.311538462,0,0,0,0,18.2,1,0,0,0,0,0.038461538,0,0,0.961538462,1,0,0,0,0.807692308,0.192307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1.3,7.170119543,8.779557456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.165651428,0,0,15.67044222
92,5,36105.5,10.49420049,169.69585,5.134007717,3.61055,1.283860115,15.6282082,11.7780606,4,3.394444444,0,0,1,0,0,70,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1.622222222,1.933333333,0,0,0,0,17.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0.722222222,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0.9,6.802394763,8.411832676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.155061126,0,0,15.64926161
93,5,32607,10.39228227,143.2,4.964242255,5.6,1.722766598,15.35652452,12.11504887,4,3.5,0,0,1,0,0,70,0,1,0,0,0,0,0,0.961538462,0.038461538,0,0,0,0.769230769,0.230769231,0,1.557692308,1.880769231,0,0,0,0,17.8,1,0,0,0,0,0,0,0,1,1,0,0.076923077,0,0.615384615,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1.3,7.170119543,8.779557456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.002603122,0,0,15.39488539
94,5,32607,10.39228227,143.2,4.964242255,5.6,1.722766598,15.35652452,12.11504887,4,3.5,0,0,1,0,0,80,0,1,0,0,0,0,0,0.888888889,0.111111111,0,0,0,0.555555556,0.444444444,0,1.994444444,2.422222222,0,0,0,0,18.8,1,0,0,0,0,0.333333333,0,0,0.666666667,1,0,0.055555556,0,0.222222222,0.722222222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.9,6.802394763,8.411832676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.002603122,0,0,15.39488539
95,5,28663.5,10.26337982,101.9,4.62399194,4.4,1.481604541,14.88737176,11.74498436,4,3.613793103,0,0,1,0,0,70,0,1,0,0,0,0,0,1,0,0,0,0,0.827586207,0.172413793,0,2.077586207,2.135057471,0,0,0,0,18.8,1,0,0,0,0,0,0,0,1,1,0,0,0,0.402298851,0.597701149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1.74,7.461640392,9.071078305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666265285,0,0,14.9296451
108,5,26631.7,10.18985751,68.9,4.232656178,3.5,1.252762968,14.42251369,11.44262048,4,3.505882353,0,0,1,0,0,70,0,1,0,0,0,0,0,0.647058824,0.352941176,0,0,0,1,0,0,0.176470588,0.176470588,0,0,0,0,14.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0.029411765,0.970588235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1.7,7.43838353,9.047821442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.282206299,0,0,14.47206381
109,5,26631.7,10.18985751,68.9,4.232656178,3.5,1.252762968,14.42251369,11.44262048,4,3.5,0,0,1,0,0,70,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0.6,6.396929655,8.006367568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.282206299,0,0,14.47206381
110,5,26631.7,10.18985751,68.9,4.232656178,3.5,1.252762968,14.42251369,11.44262048,6,3.38030303,0,0,1,0,0,60,0,1,0,0,0,0,0,0.863636364,0.136363636,0,0,0,1,0,0,0.681818182,0.681818182,0,0,0,0,21.6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1.1,7.003065459,8.612503371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.282206299,0,0,14.47206381
111,5,35079.4,10.46536934,143.3,4.964940335,17.8,2.879198457,15.43030968,13.3445678,6,3.533333333,0,0,1,0,0,60,0,1,0,0,0,0,0,0.875,0.125,0,0,0,1,0,0,1.525,1.525,0,0,0,0,24.2,1,0,0,0,0,0,0,0.125,0.875,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0.8,6.684611728,8.29404964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08202529,0,0,15.54739463
112,5,32699.6,10.39511812,122.7,4.809742352,14.4,2.667228207,15.20486048,13.06234633,4,3.548484848,0,0,1,0,0,70,0,1,0,0,0,0,0,0.727272727,0.272727273,0,0,0,1,0,0,2.009090909,2.009090909,0,0,0,0,18.2,1,0,0,0,0,0,0,0.022727273,0.977272727,1,0,0.022727273,0,0.204545455,0.772727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0.9,6.802394763,8.411832676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.920710587,0,0,15.31582871
115,5,17314.1,9.759276477,59.3,4.082609306,3.7,1.30833282,13.84188578,11.0676093,2,3.340707965,0,0,1,0,0,60,0,1,0,0,0,0,0,0.044247788,0,0.194690265,0,0,1,0,0,0.663716814,0.663716814,0.336283186,0.336283186,0,0,8.6,0,0,0,0,0,0.132743363,0,0,0.10619469,0,0,0.088495575,0,0,0.150442478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0.7,6.551080335,8.160518247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.143134726,0,0,13.9024112
116,5,14775.1,9.60069861,103.1,4.635699391,13,2.564949357,14.236398,12.16564797,2,3.5,0,1,0,0,0,60,0,1,0,0,1,0,0,0.666666667,0.166666667,0.166666667,0,0,0.5,0.5,0,1.5,1.5,1.5,1.5,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0.6,6.396929655,8.006367568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.754451889,0,0,14.3551505
117,5,14775.1,9.60069861,103.1,4.635699391,13,2.564949357,14.236398,12.16564797,2,3.5,0,1,0,0,0,60,0,1,0,0,1,0,0,0.836065574,0.163934426,0,0,0,0,1,0,1.491803279,1.491803279,1.491803279,1.491803279,0,0,9.983606557,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0.61,6.413458957,8.02289687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.754451889,0,0,14.3551505
118,5,22058,10.00143063,144.5,4.973279508,79.4,4.374498368,14.97471013,14.375929,4,3.440909091,0,0,1,0,0,80,0,1,0,0,0,0,0,0.454545455,0.363636364,0.136363636,0,0,0.454545455,0.545454545,0,1.477272727,1.477272727,0.090909091,0.090909091,0,0,17,1,0,0,0,0,0.363636364,0,0,0.590909091,1,0,0,0,0.772727273,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1.1,7.003065459,8.612503371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.411199524,0,0,15.41263015
119,5,22058,10.00143063,144.5,4.973279508,79.4,4.374498368,14.97471013,14.375929,4,3.414096916,0,0,1,0,0,60,0,1,0,0,0,0,0,0.264317181,0.735682819,0,0,1,0.295154185,0.704845815,0,1.757709251,1.757709251,0.455947137,0.455947137,0,0,18,1,0,0,0,0.088105727,0.207048458,0,0,0.704845815,1,0,0,0,0.647577093,0.352422907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0.575,6.354370041,7.963807953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.411199524,0,0,15.41263015
120,5,15913.2,9.674904232,171.6,5.145166187,41.1,3.716008122,14.82007042,13.39091235,2,3.5,0,1,0,0,0,60,0,1,0,0,1,0,0,0.48,0.48,0,0,0,1,0,0,1.36,1.68,1.2,1.84,0,0,10.52,0,0,0,0,0,0.16,0,0,0.8,1,0,0,0,0,0.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0.625,6.43775165,8.047189562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.359882722,0,0,15.03478695
121,5,28227.3,10.24804487,194.76837,5.271811006,101.61828,4.62122344,15.51985588,14.86926831,2,3.291666667,0,1,0,0,0,60,0,1,0,0,1,0,0,0.185185185,0,0.138888889,0,0,0.787037037,0.212962963,0,0,0,0,0,0,0,6.583333333,0,0,0,0,0,0,0,0,0.324074074,0,0,0.092592593,0,0,0.231481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0.73,6.593044534,8.202482447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.691664852,0,0,15.93970973
122,5,28227.3,10.24804487,194.76837,5.271811006,101.61828,4.62122344,15.51985588,14.86926831,4,3.348571429,0,0,1,0,0,60,0,1,0,0,0,0,0,0.5,0.307142857,0.171428571,0,0,0,1,0,0.185714286,0.185714286,0,0,0,0,13.8,1,0,0,0,0,0.407142857,0,0,0.571428571,1,0,0.071428571,0,0.335714286,0.571428571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0.7,6.551080335,8.160518247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.691664852,0,0,15.93970973
123,5,27350.7,10.2164974,188.71983,5.240263534,98.46252,4.589675968,15.45676094,14.80617337,4,3.3,0,1,0,0,0,60,0,1,0,0,1,0,0,0.525,0.0875,0.0625,0,0,0.9125,0.0875,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0.675,1,0,0,0,0,0.675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0.67,6.507277712,8.116715625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66011738,0,0,15.87661478
124,5,23177.9,10.05095452,159.92751,5.07472065,83.44044,4.424133084,15.12567517,14.4750876,4,3.362407407,0,1,0,0,0,60,0,1,0,0,1,0,0,0.414814815,0,0,0,0,1,0,0,0.151851852,0.151851852,0,0,0,0,13.60148148,0,0,0,0,0,0,0,0,0.414814815,0,0,0,0,0,0.414814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1.01,6.91770561,8.527143522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.494574496,0,0,15.54552901
125,5,21848.3,9.991878394,150.75327,5.015644527,78.65388,4.365056961,15.00752292,14.35693536,4,3.480504587,0,0,1,0,0,60,0,1,0,0,0,0,0,0.95412844,0.04587156,0,0,0,1,0,0,1.467889908,1.467889908,0,0,0,0,16.8,1,0,0,0,0,0,0,0,1,1,0,0,0,0.688073394,0.311926606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1.09,6.993932975,8.603370888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.435498372,0,0,15.42737677
126,5,25973.5,10.16483207,179.21715,5.188598199,93.5046,4.538010633,15.35343027,14.7028427,4,3.5,0,0,1,0,0,60,0,1,0,0,0,0,0,0.6,0.3,0.1,0,0,1,0,0,1.7,1.7,0,0,0,0,17.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0.65,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1,6.907755279,8.517193191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.608452045,0,0,15.77328411
