Iteration,Family,Upper Vars,Lower Vars,Val RMSE,BIC,Pareto Efficient,Beats benchmark (BIC+RMSE),BIC improvement vs benchmark,RMSE improvement vs benchmark,Joint improvement score,Selected by Pareto
1106,nb,"AVESNOW_Z, MIMEDSH_Z",MXMEDSH_Z,16.890220879042882,1152.7300246498871,False,True,,,,False
2208,nb,"FC_1, MIMEDSH_Z","FRICTION_Z, MXMEDSH_Z",16.356756971204916,1152.7306155505669,False,True,,,,False
2214,nb,"FC_1, MIMEDSH_Z","HISNOW, MXMEDSH_Z",16.308103920525358,1152.7334054964829,False,True,,,,False
2259,nb,"FC_1, MIMEDSH_Z","AVEPRE_Z, MXMEDSH_Z",16.272587285584105,1152.7358634792208,False,True,,,,False
2164,nb,"FC_1, MXGRADE_Z, MXMEDSH_Z, TANGENT_Z",MIMEDSH_Z,16.508279939577235,1152.7573230407356,False,True,,,,False
1100,nb,"FC_1, FRICTION_Z, MIMEDSH_Z",MXMEDSH_Z,16.33252201953263,1152.7789408122298,False,True,,,,False
2265,nb,"FC_1, FRICTION_Z, MIMEDSH_Z",MXMEDSH_Z,16.33252201953263,1152.7789408122298,False,True,,,,False
1093,nb,"CURVES_Z, FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",MIMEDSH_Z,16.821719982004574,1152.7813391784732,False,True,,,,False
2236,nb,"FC_1, MIMEDSH_Z, SPEED_Z",MXMEDSH_Z,16.32275135878682,1152.7867895880393,False,True,,,,False
2266,nb,"EXPOSE_Z, FC_1, MIMEDSH_Z",MXMEDSH_Z,16.370584090231727,1152.7975533618983,False,True,,,,False
2230,nb,"FC_1, FC_2, MIMEDSH_Z",MXMEDSH_Z,16.27879266388059,1152.8273842072372,False,True,,,,False
1897,nb,"LOWPRE, MIMEDSH_Z","MXMEDSH_Z, WIDTH_Z",17.114047031827123,1152.8336645489783,False,True,,,,False
2251,nb,"FC_1, MEDWIDTH_Z, MIMEDSH_Z",MXMEDSH_Z,16.224391287066613,1152.8629870193151,False,True,,,,False
1990,nb,"LOWPRE, MIMEDSH_Z","MINRAD_Z, MXMEDSH_Z",17.109212066505215,1152.8738439630465,False,True,,,,False
867,nb,"FC_1, GBRPM_Z, MIMEDSH_Z",MXMEDSH_Z,16.243340488637283,1152.911443905093,False,True,,,,False
1221,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","CURVES_Z, MIMEDSH_Z, MXMEDSH_Z",16.58588820395222,1152.92564894444,False,True,,,,False
2224,nb,"CPM_Z, MIMEDSH_Z",MXMEDSH_Z,16.69132783933246,1153.011549032878,False,True,,,,False
1174,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","MXMEDSH_Z, URB",17.062167531651127,1153.0526050688259,False,True,,,,False
1150,nb,"MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",MINRAD_Z,17.009439122879254,1153.1048590464277,False,True,,,,False
2047,nb,"MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",MINRAD_Z,17.009439122879254,1153.1048590464277,False,True,,,,False
936,nb,"FC_1, GRADEBR_Z, INTECHAG_Z, MIMEDSH_Z",MXMEDSH_Z,16.96814887866245,1153.1085727576599,False,True,,,,False
1208,nb,"FC_1, MINRAD_Z","MIMEDSH_Z, MXMEDSH_Z",16.413139283936125,1153.1493562770597,False,True,,,,False
2248,nb,"FC_1, MINRAD_Z","MIMEDSH_Z, MXMEDSH_Z",16.413139283936125,1153.1493562770597,False,True,,,,False
1900,nb,"CURVES_Z, LOWPRE, MIMEDSH_Z",MXMEDSH_Z,16.811291949656145,1153.1590876196701,False,True,,,,False
952,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z, MXMEDSH_Z",URB,17.242704692246075,1153.171393789762,False,True,,,,False
2083,nb,"FC_1, MXMEDSH_Z, URB",MIMEDSH_Z,16.72875349372874,1153.2173624206537,False,True,,,,False
1131,nb,"MIMEDSH_Z, TANGENT_Z","LANES_Z, MXMEDSH_Z",16.989328451894096,1153.2182343710335,False,True,,,,False
2131,nb,"FC_1, MIGRADE_Z, MXMEDSH_Z",MIMEDSH_Z,16.49993482167082,1153.2264305794968,False,True,,,,False
1257,nb,"FC_1, MXMEDSH_Z, SLOPE_Z",MIMEDSH_Z,17.234718921289755,1153.2623250360125,False,True,,,,False
1898,nb,"LOWPRE, MIMEDSH_Z","CURVES_Z, MXMEDSH_Z",16.77620584170549,1153.2998129283046,False,True,,,,False
2119,nb,"MIGRADE_Z, MXMEDSH_Z",MIMEDSH_Z,17.062605450423668,1153.327696905443,False,True,,,,False
1213,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",URB,16.683772315752332,1153.3419688408162,False,True,,,,False
2190,nb,"FC_1, MIMEDSH_Z, MXMEDSH_Z, TANGENT_Z",URB,16.683772315752332,1153.3419688408162,False,True,,,,False
1045,nb,"FC_1, LANES_Z, MIMEDSH_Z, TANGENT_Z",MXMEDSH_Z,16.49659975207425,1153.3558270399863,False,True,,,,False
2254,nb,"FC_1, SLOPE_Z","MIMEDSH_Z, MXMEDSH_Z",16.98457513028035,1153.4059684272188,False,True,,,,False
1159,nb,"FC_1, INTECHAG_Z, MIMEDSH_Z","AVEPRE_Z, MXMEDSH_Z",16.905035339786846,1153.4283794081389,False,True,,,,False
