Iteration,Family,Phase,Upper Vars,Lower Vars,Val Poisson Dev,Val RMSE,AIC,BIC,AADT elasticity min,AADT elasticity p10,AADT elasticity median,AADT elasticity p90,AADT elasticity share positive,Monotonic AADT OK
79,nb,random,"AVEPRE_Z, DOUBLE_Z, MXMEDSH_Z",AVESNOW_Z,591.1992375326622,16.247973170978764,1149.7254958134863,1171.4671141307904,0.6444178523522084,0.6444178523522084,0.6461176125737547,0.6572742205733585,1.0,yes
308,nb,random,"AVEPRE_Z, CPM_Z, CURVES_Z, DOUBLE_Z, FC_Z, HISNOW, INTPM_Z, MIGRADE_Z",HISNOW,591.2145204117344,16.31989655699016,1156.7680435197283,1194.0393892065354,0.7109231184626926,0.7109231184626926,0.7418520265455784,0.7418520265455784,1.0,yes
515,nb,random,"CPM_Z, GBRPM_Z, INTPM_Z, LOWPRE, SLOPE_Z, TANGENT_Z, TRAIN_Z","CURVES_Z, FRICTION_Z, SLOPE_Z",591.3412818886843,15.698355126723714,1157.799241354277,1198.1765325149845,0.6202109638706913,0.6310131817217342,0.6448617402107626,0.8273291145113609,1.0,yes
351,nb,random,"CPM_Z, DOUBLE_Z, FRICTION_Z, LANES_Z, LNAADT_Z, MXGRADE_Z, MXMEDSH_Z, SPEED_Z, TRAIN_Z",FRICTION_Z,591.5161693691994,16.83312824618599,1150.5585083649357,1190.9357995256432,-0.211572362641519,-0.15422244049112657,-0.07045542821634086,-0.007235041593861045,0.09090909090909091,no
517,poisson,random,"DOUBLE_Z, MIGRADE_Z, TANGENT_Z","HISNOW, MXMEDSH_Z, URB",591.9788310080809,16.656176300486894,1859.0873849432007,1883.9349487344055,0.6726831668459201,0.6808739851452341,0.6917233851206059,0.7032924811032888,1.0,yes
332,nb,random,"DOUBLE_Z, GBRPM_Z, HISNOW, MEDWIDTH_Z, MXGRADE_Z, PEAKHR_Z, TRAIN_Z","AVEPRE_Z, MXMEDSH_Z",592.101411127517,16.281516413598155,1148.5454368565033,1185.8167825433102,0.6208583393365806,0.6211964359382196,0.629752880702775,0.6491254786927523,1.0,yes
215,poisson,random,"ACCESS_Z, HISNOW, LNAADT_Z, MEDWIDTH_Z, MIGRADE_Z, MXGRDIFF_Z, MXMEDSH_Z, TRAIN_Z",CURVES_Z,593.0232477752802,15.93456434064246,1831.6579347751076,1865.823334988014,-0.1090682215090118,-0.0984553788521133,-0.09049574685943944,-0.08784253619521482,0.0,no
279,poisson,random,"FC_Z, GBRPM_Z","HISNOW, MEDWIDTH_Z, MXMEDSH_Z",593.684225409301,16.2539313043729,1842.6286065802626,1864.3702248975667,0.7648876713812143,0.772142861482709,0.7799867687741752,0.7951094737943613,1.0,yes
564,nb,random,"CPM_Z, CURVES_Z, HISNOW, LOWPRE, MEDWIDTH_Z, MIGRADE_Z, MINRAD_Z, SINGLE_Z, TANGENT_Z","AVEPRE_Z, CURVES_Z, WIDTH_Z",593.7057765935989,16.801342256626825,1161.3210610239319,1207.9102431324407,0.6993234524134064,0.7512372389977802,0.7953242052149077,0.8199887550329296,1.0,yes
300,poisson,random,"AVESNOW_Z, EXPOSE_Z, HISNOW, MXMEDSH_Z, TRAIN_Z","CURVES_Z, HISNOW, SPEED_Z",593.7817230042871,16.185551682738442,1850.945706419321,1882.0051611583267,0.6300371439904876,0.636889732129676,0.6479864167202259,0.6618725253675526,1.0,yes
476,poisson,random,"DOUBLE_Z, FC_Z, HISNOW, INTECHAG_Z, LANES_Z, MIMEDSH_Z, SLOPE_Z","AVESNOW_Z, CURVES_Z, SLOPE_Z",594.2782290031856,15.156035881405757,1792.6998421516992,1829.971187838506,0.6662237488320611,0.6774960074501896,0.6866767659200371,0.9245868414498064,1.0,yes
172,poisson,random,"ACCESS_Z, AVEPRE_Z, AVESNOW_Z, CPM_Z, DOUBLE_Z, FC_Z, GBRPM_Z, MIMEDSH_Z, SLOPE_Z, TRAIN_Z","CURVES_Z, PEAKHR_Z, SLOPE_Z, SPEED_Z",594.3166567241199,14.87256417158595,1802.594755043321,1852.2898826257301,0.6677161586116285,0.67716599222667,0.6881681929285475,0.9830815536348229,1.0,yes
185,poisson,random,"AVEPRE_Z, SPEED_Z","CURVES_Z, MEDWIDTH_Z, MXMEDSH_Z",594.8198367998124,15.716927256014717,1862.0530340076916,1883.7946523249957,0.6529935770144631,0.6628483449071966,0.6720560415850658,0.6880013558314163,1.0,yes
78,nb,random,"CURVES_Z, FC_Z, GRADEBR_Z, INTPM_Z, LANES_Z, MINRAD_Z, MXGRADE_Z, SLOPE_Z, URB","HISNOW, MINRAD_Z, SLOPE_Z, SPEED_Z",594.9534524260087,16.05775243012166,1157.0791332169783,1206.7742607993875,0.8084981334843907,0.8191665273520089,0.8309082115853131,0.9747329435121606,1.0,yes
366,nb,random,"DOUBLE_Z, FC_Z, FRICTION_Z, HISNOW, MIGRADE_Z, MINRAD_Z, URB",FRICTION_Z,594.9883593750602,16.67402548309652,1154.9117727339935,1189.0771729469,0.6080031807965645,0.6775132608831207,0.7790417636867126,0.855667048821499,1.0,yes
558,poisson,random,"FC_Z, HISNOW, MXMEDSH_Z, WIDTH_Z","HISNOW, MEDWIDTH_Z, MXMEDSH_Z, SLOPE_Z",595.3306429946299,16.427677369806048,1844.7700681536585,1875.8295228926643,0.7425623706651193,0.7435639740035153,0.8038399749300127,0.8375923006672468,1.0,yes
99,nb,random,"ACCESS_Z, AVEPRE_Z, GBRPM_Z, GRADEBR_Z, INTECHAG_Z, LANES_Z, MIGRADE_Z, SPEED_Z, TANGENT_Z, WIDTH_Z","AVEPRE_Z, FRICTION_Z, LANES_Z, MINRAD_Z",595.6524264531067,16.397500813794508,1159.0431204140252,1211.844193470335,0.43944958925322414,0.543073642085725,0.706052153631324,1.0236385909880796,1.0,yes
294,nb,random,"AVESNOW_Z, FC_Z, FRICTION_Z, LOWPRE, PEAKHR_Z, TANGENT_Z","AVEPRE_Z, FRICTION_Z",595.896629154855,16.562437352167375,1152.8694124277674,1187.0348126406739,0.6739076318689772,0.7343291360610246,0.8220691076818794,0.8881451065405178,1.0,yes
597,nb,random,"FC_Z, GRADEBR_Z, LANES_Z, MIGRADE_Z, MXGRADE_Z, URB, WIDTH_Z","CURVES_Z, MINRAD_Z, MXMEDSH_Z, WIDTH_Z",596.1345738210078,16.055553340793058,1143.0230509487878,1186.506287583396,0.7597696751677129,0.7795052104084867,0.8052440113860995,1.155251878844867,1.0,yes
6,nb,random,"ACCESS_Z, CPM_Z, DOUBLE_Z, FC_Z, LOWPRE, MEDWIDTH_Z, PEAKHR_Z, TRAIN_Z, URB","FRICTION_Z, MEDWIDTH_Z",598.700168788266,16.526686094437498,1154.9736796710124,1198.4569163056206,0.6434322691354846,0.6677616636680834,0.7368196064697635,0.7382966081589089,1.0,yes
295,poisson,random,"AVESNOW_Z, CURVES_Z, FRICTION_Z, GRADEBR_Z, INTPM_Z, LNAADT_Z, MXMEDSH_Z, TRAIN_Z, URB","CURVES_Z, MINRAD_Z, SLOPE_Z, WIDTH_Z",598.7679296148664,15.694434021751773,1840.6311107368576,1887.2202928453664,-0.19901246907197592,-0.12322394056628283,-0.06940024990703028,-0.04056928021530163,0.0,no
429,poisson,random,"EXPOSE_Z, FC_Z, MEDWIDTH_Z, MXGRDIFF_Z, SPEED_Z, TRAIN_Z","ACCESS_Z, FRICTION_Z, MXMEDSH_Z",598.9554074784483,15.894312731619777,1851.2199684296093,1885.3853686425157,0.7215338889607624,0.7374860240327693,0.7395784763944633,0.7607383433287753,1.0,yes
47,nb,random,"EXPOSE_Z, MEDWIDTH_Z, MXMEDSH_Z, TRAIN_Z",MEDWIDTH_Z,599.5272750139449,16.24062646361961,1155.797195026513,1180.6447588177177,0.5826149912474178,0.6092760419829908,0.68925919418971,0.68925919418971,1.0,yes
505,nb,random,"CPM_Z, DOUBLE_Z, PEAKHR_Z, WIDTH_Z",PEAKHR_Z,601.3883835258537,16.82947655572145,1149.2593130576838,1174.1068768488885,0.7598562105024153,0.7695657617383539,0.7919934575509447,0.7971217416544335,1.0,yes
378,poisson,random,"AVEPRE_Z, GBRPM_Z, HISNOW, MEDWIDTH_Z, MXMEDSH_Z, SINGLE_Z, TANGENT_Z, TRAIN_Z",CURVES_Z,601.8948659385551,16.185358321550172,1858.45527159868,1892.6206718115864,0.6389954304384455,0.6458358810179293,0.650966218952542,0.652676331597413,1.0,yes
142,nb,random,"CPM_Z, CURVES_Z, LANES_Z, LNAADT_Z, MEDWIDTH_Z, MINRAD_Z, MXMEDSH_Z, PEAKHR_Z, SINGLE_Z, TANGENT_Z","LANES_Z, MXMEDSH_Z, SLOPE_Z, WIDTH_Z",602.0209966885128,16.989880101234792,1161.5605184969752,1214.361591553285,-0.2619388082080315,-0.15173546153780976,-0.1110177830618519,0.025745525509662432,0.23636363636363636,no
347,poisson,random,"CPM_Z, FC_Z, GBRPM_Z, MXGRDIFF_Z, MXMEDSH_Z, SLOPE_Z, TANGENT_Z","ACCESS_Z, AVEPRE_Z, FRICTION_Z, MXMEDSH_Z",602.4619803710247,15.879922691007039,1846.100140847379,1886.4774320080865,0.7111049419852226,0.7250304557031537,0.7301135431303626,0.8500672187409887,1.0,yes
