Y,US,RSHS,RSMS,O,AADT,MCV,C,CT
0,0,1,0,1.141,0.81,0.24,0,1
0,0,0,0,0.909,1,0.46,0,0
0,1,0,0,0.875,1.04,0.43,0,0
0,0,0,0,1.027,0.97,0.33,0,0
0,0,0,0,0.939,0.94,0.33,0,1
0,0,0,0,0.87,0.94,0.33,0,1
0,0,0,0,0.885,0.94,0.33,0,1
0,0,0,0,1.115,0.94,0.33,0,1
0,0,1,0,1.151,0.94,0.33,0,1
0,0,1,0,1.107,0.94,0.33,0,1
0,1,0,0,0.962,0.93,0.41,0,0
0,1,0,0,0.921,0.93,0.41,0,0
0,1,0,0,0.931,0.93,0.41,0,1
0,1,0,0,0.921,0.93,0.41,0,1
0,0,0,0,0.885,0.93,0.41,1,0
0,1,0,0,0.899,0.89,0.18,1,1
0,1,0,0,0.931,0.89,0.18,0,1
0,0,1,0,1.15,0.84,0.18,0,1
0,0,1,0,1.004,0.82,0,0,0
0,1,0,0,0.888,0.75,0.18,0,1
0,0,1,0,0.888,0.75,0.18,0,0
0,0,1,0,1.03,0.75,0.18,0,1
0,0,0,1,1.151,0.68,0.16,0,1
0,0,0,1,1.151,0.68,0.16,0,1
0,0,0,1,1.151,0.68,0.16,0,1
0,0,0,1,1.11,0.68,0.16,0,1
0,1,0,0,0.91,0.95,0.33,1,0
0,1,0,0,0.76,0.95,0.33,0,0
0,0,0,0,0.872,1.01,0.11,0,0
0,1,0,0,0.939,0.88,0.4,0,0
0,1,0,0,0.931,0.88,0.4,0,1
0,0,1,0,0.91,0.88,0.4,0,1
0,0,1,0,0.899,0.88,0.4,0,1
0,0,1,0,1.06,0.87,0.39,0,1
0,0,1,0,1.141,0.87,0.25,0,1
0,0,1,0,0.899,0.87,0.25,0,0
0,0,1,0,0.91,0.88,0.41,0,1
0,0,1,0,1.004,0.88,0.44,0,1
0,1,0,0,0.885,0.89,0.46,1,1
0,0,0,1,1.049,0.9,0.48,0,1
0,0,0,1,0.962,0.9,0.48,0,1
0,0,0,1,0.899,0.9,0.48,0,1
0,0,0,1,0.995,0.9,0.48,1,1
0,1,0,0,0.995,0.9,0.48,1,1
0,0,0,1,0.921,0.9,0.48,1,0
0,0,0,1,1.024,0.9,0.48,1,1
0,0,0,1,0.921,0.9,0.48,1,1
0,1,0,0,0.829,0.9,0.43,1,1
0,0,0,1,0.899,0.89,0.37,1,1
0,1,0,0,0.921,0.89,0.37,1,1
0,1,0,0,0.91,0.89,0.37,0,0
0,1,0,0,0.955,0.89,0.37,0,1
0,1,0,0,0.91,0.89,0.37,1,0
0,1,0,0,0.959,0.96,0.38,0,1
0,0,0,0,1.046,1.04,0.33,0,0
0,0,0,0,0.899,1.03,0.4,0,0
0,0,0,0,0.885,1.04,0.42,0,0
0,0,0,0,0.885,1.04,0.42,0,0
0,0,0,0,0.955,1.04,0.42,0,1
0,0,0,0,0.91,1.04,0.42,1,1
0,0,0,0,0.899,1.04,0.42,0,1
0,0,0,0,1.007,1.04,0.36,0,1
0,1,0,0,0.801,0.94,0.09,1,1
0,1,0,0,0.947,0.97,0.21,1,1
0,1,0,0,0.967,0.98,0.38,1,1
0,0,0,0,0.901,0.98,0.38,1,0
0,1,0,0,0.939,0.96,0.4,0,0
0,1,0,0,0.895,0.96,0.4,1,0
0,1,0,0,0.885,0.96,0.4,0,0
0,1,0,0,0.931,0.96,0.4,0,0
0,0,1,0,1.06,0.96,0.4,0,1
0,0,1,0,0.852,0.96,0.4,1,0
0,1,0,0,0.87,0.96,0.4,0,0
0,1,0,0,0.885,0.96,0.4,1,0
0,1,0,0,0.885,0.96,0.4,0,0
0,1,0,0,0.899,0.99,0.39,0,0
0,0,0,1,0.91,0.99,0.38,0,0
0,0,0,1,0.985,0.99,0.38,0,0
0,0,0,1,0.87,0.99,0.38,1,0
0,1,0,0,0.801,0.84,0.35,0,1
