ID,Month,Death,Roadway_Class,Road_surface,Road_section,Weather_condition,Light_condition
277,1,0,4,1,1,1,1
278,1,0,1,1,3,1,1
279,1,0,1,1,2,1,2
280,1,0,3,1,3,1,3
281,1,0,1,1,1,1,1
282,1,0,4,1,1,1,3
283,1,0,4,1,1,1,3
284,1,0,3,1,3,1,1
285,1,1,1,1,1,1,3
286,1,1,1,1,1,1,1
287,1,0,4,1,1,1,1
288,1,0,1,1,3,1,3
289,1,0,1,1,1,1,2
290,1,0,1,1,1,1,1
291,1,0,4,1,1,1,3
292,1,1,4,1,1,1,2
293,1,0,1,1,1,1,1
294,1,1,1,1,1,1,1
295,1,0,4,1,1,1,1
296,1,0,1,1,1,1,3
297,1,0,4,1,1,1,3
298,1,0,1,1,3,1,1
299,1,1,2,1,1,1,3
300,1,1,4,1,3,1,1
301,1,1,1,1,3,1,1
302,1,1,1,1,1,1,1
303,1,1,1,1,1,1,3
304,1,0,3,1,2,1,3
305,1,0,2,1,1,1,1
306,1,2,2,1,2,2,1
307,1,0,1,1,1,1,2
308,1,1,1,1,3,1,2
309,1,1,1,1,1,1,3
310,1,1,2,1,2,1,3
311,1,0,4,2,1,2,1
312,1,0,1,1,3,1,1
313,1,1,1,1,1,2,3
314,1,0,3,1,1,1,1
315,1,0,3,1,1,1,3
316,1,1,1,1,1,1,3
317,1,0,3,1,1,1,3
318,1,0,1,1,1,1,3
319,1,0,1,1,2,1,1
320,1,1,4,1,2,2,2
321,1,0,4,1,1,1,1
322,1,0,4,1,1,1,1
323,1,0,4,1,1,1,1
324,1,0,4,1,1,1,1
325,1,0,4,1,3,1,1
326,1,0,4,1,1,1,3
327,1,0,4,1,1,1,1
328,1,0,4,1,3,1,3
329,1,0,4,1,3,1,1
330,1,0,1,1,1,1,2
331,1,0,1,1,1,1,2
332,1,0,3,1,3,1,2
333,1,0,1,1,3,1,1
334,1,1,2,1,3,1,1
335,1,1,1,1,1,1,1
336,1,0,4,1,1,1,3
337,1,0,1,1,1,1,1
338,1,0,1,1,1,1,2
339,1,0,4,1,2,1,1
340,1,0,2,2,2,1,3
341,1,1,1,1,1,1,3
342,1,1,3,1,1,1,2
343,1,1,1,1,1,1,2
344,1,1,4,1,2,1,1
345,1,0,4,1,3,1,1
346,1,1,2,1,1,1,3
347,1,0,2,1,1,1,1
348,1,1,2,1,1,1,2
349,1,0,4,1,3,1,1
350,1,0,1,1,1,1,1
351,1,1,1,1,1,2,2
352,1,0,4,1,1,1,1
353,1,0,4,1,1,1,3
354,1,1,1,1,1,1,2
355,1,1,2,1,1,1,1
356,1,0,4,1,1,1,3
357,1,1,1,1,1,1,1
358,1,0,3,1,1,1,1
359,1,0,3,1,3,1,2
360,1,1,2,1,2,1,1
361,1,0,4,1,1,1,2
362,1,0,1,1,1,1,1
363,1,0,4,1,1,1,1
364,1,1,2,1,2,1,3
365,1,0,1,1,1,1,2
366,1,0,4,1,1,1,3
367,1,1,1,2,1,3,1
368,1,0,3,1,1,1,1
369,1,0,1,1,2,1,1
370,1,0,3,1,1,1,1
371,1,1,2,1,3,1,1
372,1,0,1,1,3,1,1
373,1,0,4,1,3,1,1
374,1,0,1,1,3,1,1
375,1,0,4,1,1,1,1
376,1,0,4,1,1,1,1
377,1,0,4,1,3,1,1
378,1,0,1,2,2,3,2
379,1,2,1,1,1,1,1
380,1,0,4,1,2,1,1
381,1,0,1,1,1,1,1
382,1,0,1,1,1,1,1
383,1,0,1,1,1,1,1
384,1,0,1,1,1,1,2
385,1,1,1,1,1,1,2
386,1,0,3,1,1,1,3
387,1,0,4,1,1,1,1
388,1,3,1,1,1,1,1
389,1,1,1,1,1,1,3
390,1,1,1,1,1,1,1
391,1,1,2,1,1,1,1
392,1,1,1,1,1,1,1
393,1,1,1,1,1,1,2
394,1,0,4,1,1,1,3
395,1,0,4,1,1,1,1
396,1,0,1,1,1,1,1
397,1,1,1,1,1,1,3
398,1,1,2,1,1,1,1
399,1,1,2,1,1,1,1
400,1,1,4,1,1,1,2
401,1,1,1,1,3,1,1
402,1,0,4,1,1,1,3
403,1,0,4,1,2,1,1
