FSI,US,RSHS,RSMS,Offset,LNAADT,LNMCV,Curve50,Constant
0,0,1,0,1.108,0.7,0.4,0,1
0,0,0,0,0.946,0.9,0.6,0,1
0,0,1,0,1.151,0.7,0.5,0,1
0,0,1,0,1.151,0.7,0.5,0,1
0,1,0,0,0.931,0.7,0.5,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,1,0,0,0.87,0.8,0.4,0,1
0,1,0,0,0.91,0.7,0.4,0,1
0,0,1,0,0.976,0.7,0.4,0,1
0,0,1,0,1.151,0.6,0.2,0,1
0,0,1,0,1.151,0.6,0.2,0,1
0,0,1,0,1.027,0.6,0.2,0,1
0,0,1,0,0.797,0.6,0.2,0,1
0,1,0,0,0.852,0.6,0.2,0,1
0,0,1,0,1.147,0.6,0.2,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,1.118,0.7,0.4,0,1
0,1,0,0,0.87,0.8,0.1,0,1
0,0,1,0,1.151,0.7,0.2,0,1
0,1,0,0,0.921,0.6,0.4,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,0.921,0.5,0.2,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,0.939,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.116,0.5,0.3,0,1
0,0,1,0,1.085,0.5,0.2,1,1
0,0,1,0,0.954,0.5,0.3,0,1
0,0,0,0,0.905,0.5,0.2,0,1
0,1,0,0,0.892,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,0,0,0.947,1,0.3,1,1
0,1,0,0,0.882,1,0.5,0,1
0,1,0,0,0.931,0.9,0.5,0,1
0,1,0,0,1.013,0.9,0.5,0,1
0,1,0,0,0.91,1,0.3,0,1
0,0,1,0,0.995,0.7,0.4,0,1
0,1,0,0,0.974,0.7,0.4,0,1
0,0,1,0,0.899,0.7,0.4,0,1
0,0,1,0,1.103,0.7,0.4,0,1
0,1,0,0,0.921,0.7,0.3,0,1
0,0,1,0,0.87,0.7,0.3,1,1
0,0,1,0,1.082,0.7,0.3,0,1
0,1,0,0,0.87,0.7,0.4,0,1
0,0,1,0,1.142,0.7,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,0.76,0.7,0.4,0,1
0,1,0,0,0.87,0.6,0.4,0,1
0,0,1,0,1.151,0.6,0.4,0,1
0,0,1,0,0.99,0.6,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,1,0,0,0.921,0.6,0.3,0,1
0,1,0,0,0.921,0.7,0.1,0,1
0,1,0,0,0.885,0.7,0.1,0,1
0,0,1,0,0.91,0.7,0.1,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.151,0.6,0.3,0,1
0,0,1,0,1.11,0.6,0.3,0,1
0,0,1,0,1.02,0.7,0.2,0,1
0,1,0,0,0.931,0.7,0.3,0,1
0,0,1,0,1.013,0.6,0.2,1,1
0,0,1,0,0.931,0.6,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1,0.6,0.2,1,1
0,1,0,0,0.939,0.6,0.2,0,1
0,0,1,0,1.028,0.6,0.2,1,1
0,0,1,0,1.114,0.6,0.3,0,1
0,0,1,0,1.017,0.6,0.3,1,1
0,0,1,0,1.009,0.6,0.3,0,1
0,0,1,0,0.938,0.6,0.3,1,1
0,0,1,0,1.151,0.6,0.3,0,1
0,1,0,0,0.87,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.055,0.4,0.1,0,1
0,0,1,0,0.894,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,0.912,0.4,0.2,0,1
0,0,0,0,0.899,0.6,0.3,0,1
0,0,1,0,0.985,0.5,0.2,0,1
0,0,1,0,1.091,0.5,0.2,0,1
0,1,0,0,0.955,0.8,0.4,0,1
0,0,1,0,1.151,0.7,0.3,0,1
0,0,1,0,0.931,0.7,0.3,0,1
0,0,1,0,0.995,0.4,0.2,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,1,0,0,0.774,0.5,0.3,0,1
0,0,1,0,1.131,0.7,0.4,0,1
0,0,0,0,0.885,1,0.3,0,1
0,0,0,0,0.921,1,0.3,0,1
0,0,0,0,0.899,1,0.3,0,1
0,0,0,0,0.899,1,0.2,0,1
0,0,0,0,0.892,0.9,0.2,0,1
0,1,0,0,0.91,0.9,0.5,0,1
0,1,0,0,0.87,0.9,0.5,0,1
0,1,0,0,0.919,1,0.5,0,1
0,0,0,0,0.931,0.9,0.3,0,1
0,1,0,0,0.91,0.9,0.1,0,1
0,1,0,0,0.885,0.9,0.4,0,1
0,0,1,0,1.004,0.7,0,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,0.985,0.5,0.2,1,1
0,0,1,0,0.974,0.5,0.2,0,1
0,0,1,0,0.931,0.5,0.2,1,1
0,0,1,0,0.98,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.5,0.2,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,0.992,0.7,0.4,0,1
0,0,1,0,1.151,0.6,0.2,0,1
0,1,0,0,0.902,0.6,0.2,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,1.151,0.7,0.4,0,1
0,0,1,0,1.02,0.7,0.4,0,1
0,0,1,0,1.077,0.8,0.4,1,1
0,0,0,0,0.87,0.9,0.6,0,1
0,1,0,0,0.921,0.9,0.6,1,1
0,0,1,0,1.151,0.9,0.5,0,1
0,0,1,0,0.87,0.9,0.5,0,1
0,0,1,0,0.985,0.7,0.2,0,1
0,0,1,0,1.151,0.6,0.2,0,1
0,0,1,0,1.071,0.6,0.2,0,1
0,0,1,0,0.921,0.6,0.2,0,1
0,0,0,1,0.955,0.8,0.4,1,1
0,1,0,0,0.897,0.8,0.4,0,1
0,0,1,0,1.151,0.6,0.2,0,1
0,0,1,0,0.939,0.5,0.2,0,1
0,0,1,0,0.968,0.5,0.2,1,1
0,0,1,0,0.921,0.5,0.2,1,1
0,0,1,0,0.99,0.5,0.2,1,1
0,0,1,0,0.939,0.5,0.2,0,1
0,0,1,0,0.921,0.5,0.2,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.151,0.4,0.2,0,1
0,0,1,0,1.1,0.4,0.2,0,1
0,0,1,0,1.028,0.4,0.2,0,1
0,0,1,0,0.968,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.4,0.1,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.151,0.5,0.3,0,1
0,0,1,0,1.078,0.5,0.3,0,1
