ID,FREQ,aones,hisnow,FRICTION,expose,cpm,intpm,gbrpm,lowpre,ny
157,7,1,1,51,0.20306577900000003,1.075268817204301,1.075268817204301,2.150537634408602,0,0.05
158,10,1,0,53.5,0.21353025599999997,1.3888888888888888,0,2.7777777777777777,0,0.071428571
159,25,1,0,55,0.412846755,2.0689655172413794,0.6896551724137931,2.0689655172413794,0,0.178571429
160,3,1,1,47.5,0.10394152450000001,2.531645569620253,0,2.531645569620253,0,0.021428571
161,27,1,1,48,0.248728155,1.5384615384615385,0.5128205128205129,1.5384615384615385,0,0.192857143
162,14,1,1,50.8,0.24945195,1.3761467889908257,0.4587155963302752,0.4587155963302752,0,0.1
163,8,1,1,48,0.12174363299999999,1.0309278350515465,0,1.0309278350515465,0,0.057142857
164,11,1,1,45.8,0.178198986,2.0408163265306123,0.6802721088435374,2.7210884353741496,0,0.078571429
165,5,1,1,44,0.11547964899999999,1.639344262295082,0.819672131,1.639344262295082,0,0.035714286
166,5,1,1,44,0.045519734000000006,3.846153846153846,0,1.923076923076923,0,0.035714286
167,7,1,1,47.5,0.14067027000000001,1.2345679012345678,0,1.2345679012345678,0,0.05
168,7,1,1,46.8,0.12851358,2.7027027027027026,0,1.3513513513513513,0,0.05
169,6,1,0,47.5,0.069971814,2.127659574468085,1.0638297872340425,1.0638297872340425,1,0.042857143
170,16,1,0,44.5,0.16024011,2.1052631578947367,0,2.6315789473684212,1,0.114285714
171,47,1,0,44.6,0.363492039,1.8561484918793505,0.4640371229698376,1.8561484918793505,1,0.335714286
172,8,1,0,45.3,0.093149095,0,1.5384615384615383,2.3076923076923075,1,0.057142857
173,20,1,1,45.5,0.21356912849999998,1.465201465201465,0.3663003663003663,1.8315018315018314,0,0.142857143
174,9,1,1,45,0.095610801,2.3255813953488373,0,2.3255813953488373,0,0.064285714
175,22,1,1,44.2,0.205607858,0.7462686567164178,0.3731343283582089,1.8656716417910446,0,0.157142857
176,19,1,1,43.5,0.128069448,0.641025641,0.641025641,1.282051282051282,0,0.135714286
177,21,1,1,43.8,0.160694353,0.9569377990430623,0.47846889952153115,1.4354066985645935,0,0.15
178,2,1,1,43,0.042878338499999995,1.6949152542372883,1.6949152542372883,1.6949152542372883,0,0.014285714
179,7,1,1,47.3,0.1453503,0.5,1,1,0,0.05
180,35,1,1,46.8,0.30464849099999997,1.272264631043257,0,1.272264631043257,0,0.25
181,21,1,1,44.4,0.41860306050000007,1.3657056145675266,0.15174506828528073,1.062215477996965,0,0.15
182,20,1,0,46.3,0.31178446000000004,0.9615384615384615,0.1923076923076923,1.346153846153846,1,0.142857143
183,0,1,0,58.5,0.038309232,1.7241379310344829,0,5.172413793103448,1,0
184,4,1,0,58,0.096433584,1.369863014,0,1.369863014,1,0.028571429
185,7,1,0,56.3,0.17437305600000003,0.7575757575757576,0.3787878787878788,0.7575757575757576,1,0.05
186,2,1,0,56.5,0.059807367,0,0,2.3255813953488373,1,0.014285714
187,0,1,0,57.5,0.05563476,1.25,0,1.25,1,0
188,42,1,0,60.8,0.799749675,1.2173913043478262,0.17391304347826086,0.8695652173913043,1,0.3
189,29,1,0,61.2,0.546677144,1.8979057591623036,0.065445026,1.0471204188481675,1,0.207142857
190,7,1,0,51.8,0.16091182,1.0845986984815617,0.21691973969631234,1.5184381778741864,1,0.05
191,1,1,0,50.5,0.021990118499999996,1.5873015873015872,1.5873015873015872,1.5873015873015872,1,0.007142857
192,8,1,0,51,0.17576064000000002,0.5681818181818181,0.1893939393939394,1.3257575757575757,1,0.057142857
193,6,1,0,53,0.04627178,1.2195121951219512,0,3.048780487804878,1,0.042857143
194,11,1,0,52.9,0.134583165,0.41928721174004197,0,0.8385744234800839,1,0.078571429
195,10,1,0,53.1,0.13970637800000002,0.4484304932735426,0,0.8968609865470852,1,0.071428571
196,19,1,0,51.7,0.29726760700000004,0.1053740779768177,0.1053740779768177,1.4752370916754478,1,0.135714286
197,1,1,0,51.7,0.020046493500000002,0,0,3.9215686274509802,1,0.007142857
198,8,1,0,52.6,0.139146249,0.2824858757062147,0,2.824858757062147,1,0.057142857
199,2,1,0,54.3,0.062404269,0,0,1.492537313432836,1,0.014285714
200,1,1,0,53,0.030425961999999997,0,0,2.0408163265306123,1,0.007142857
201,15,1,0,55.2,0.227884246,0.4087193460490463,0.2724795640326976,1.771117166212534,1,0.107142857
202,3,1,0,48.5,0.044517553499999994,1.3605442176870748,0,0,1,0.021428571
203,1,1,0,56.5,0.020593154,2.941176470588235,0,1.4705882352941175,1,0.007142857
204,4,1,0,55.8,0.030586890499999998,1.9801980198019802,0,0.9900990099009901,1,0.028571429
205,1,1,0,56.3,0.033918136,0,0,2.6785714285714284,1,0.007142857
206,3,1,0,56.2,0.039672106,1.5267175572519083,0,1.5267175572519083,1,0.021428571
207,12,1,0,51.6,0.15251276800000002,0.390625,0,1.171875,1,0.085714286
208,7,1,0,54.7,0.184981307,0.644122383,0,0.966183575,1,0.05
209,14,1,1,54.3,0.202071665,0.44776119402985076,0.14925373134328357,0.44776119402985076,1,0.1
210,17,1,1,52.4,0.27423369799999997,0.141643059,0.141643059,0.708215297,1,0.121428571
211,35,1,1,53.1,0.5518807299999999,0.7633587786259542,0.076335878,1.0687022900763359,1,0.25
212,12,1,1,55.5,0.116817885,1.1627906976744187,0,1.937984496124031,1,0.085714286
213,11,1,1,58.6,0.16481283000000002,0.2747252747252747,0,1.3736263736263736,1,0.078571429
